sample	speciesID	freq
21MD0069	ONCKET	3
21MD0069	ONCKIS	0
21MD0069	ONCMYK	0
21MD0069	ONCNER	0
21MD0069	ONCTSH	109
21MD0069	SALTRU	0
21MD0070	ONCGOR	0
21MD0070	ONCKET	0
21MD0070	ONCKIS	0
21MD0070	ONCMYK	32
21MD0070	ONCNER	0
21MD0070	ONCTSH	8
21MD0070	SALTRU	0
21MD0071	ONCGOR	0
21MD0071	ONCKET	1009
21MD0071	ONCKIS	102
21MD0071	ONCMYK	3
21MD0071	ONCNER	0
21MD0071	ONCTSH	103
21MD0071	SALTRU	0
21MD0073	ONCGOR	0
21MD0073	ONCKET	6
21MD0073	ONCKIS	21
21MD0073	ONCMYK	12
21MD0073	ONCNER	0
21MD0073	ONCTSH	32
21MD0073	SALTRU	0
21MD0074	ONCGOR	0
21MD0074	ONCKET	0
21MD0074	ONCKIS	36
21MD0074	ONCMYK	0
21MD0074	ONCNER	0
21MD0074	ONCTSH	25
21MD0074	SALTRU	0
21MD0075	ONCGOR	0
21MD0075	ONCKET	10
21MD0075	ONCKIS	7
21MD0075	ONCMYK	0
21MD0075	ONCNER	0
21MD0075	ONCTSH	645
21MD0075	SALTRU	0
21MD0076	ONCGOR	0
21MD0076	ONCKET	4
21MD0076	ONCKIS	0
21MD0076	ONCMYK	4
21MD0076	ONCNER	0
21MD0076	ONCTSH	34
21MD0076	SALTRU	0
21MD0077	ONCGOR	0
21MD0077	ONCKET	5
21MD0077	ONCKIS	0
21MD0077	ONCMYK	8
21MD0077	ONCNER	0
21MD0077	ONCTSH	44
21MD0077	SALTRU	0
21MD0078	ONCGOR	0
21MD0078	ONCKET	0
21MD0078	ONCKIS	424
21MD0078	ONCMYK	4
21MD0078	ONCNER	0
21MD0078	ONCTSH	0
21MD0078	SALTRU	0
21MD0079	ONCGOR	0
21MD0079	ONCKET	4
21MD0079	ONCKIS	0
21MD0079	ONCMYK	27
21MD0079	ONCNER	0
21MD0079	ONCTSH	0
21MD0079	SALTRU	0
21MD0080	ONCGOR	0
21MD0080	ONCKET	0
21MD0080	ONCKIS	6
21MD0080	ONCMYK	5
21MD0080	ONCNER	0
21MD0080	ONCTSH	7
21MD0080	SALTRU	0
21MD0081	ONCGOR	0
21MD0081	ONCKET	3
21MD0081	ONCKIS	3
21MD0081	ONCMYK	9
21MD0081	ONCNER	0
21MD0081	ONCTSH	0
21MD0081	SALTRU	0
21MD0082	ONCGOR	0
21MD0082	ONCKET	2
21MD0082	ONCKIS	0
21MD0082	ONCMYK	0
21MD0082	ONCNER	0
21MD0082	ONCTSH	20
21MD0082	SALTRU	0
21MD0083	ONCGOR	0
21MD0083	ONCKET	0
21MD0083	ONCKIS	0
21MD0083	ONCMYK	0
21MD0083	ONCNER	0
21MD0083	ONCTSH	4057
21MD0083	SALTRU	0
21MD0084	ONCGOR	0
21MD0084	ONCKET	14
21MD0084	ONCKIS	9
21MD0084	ONCMYK	9
21MD0084	ONCNER	0
21MD0084	ONCTSH	125
21MD0084	SALTRU	0
21MD0085	ONCGOR	0
21MD0085	ONCKET	12
21MD0085	ONCKIS	58
21MD0085	ONCMYK	12
21MD0085	ONCNER	0
21MD0085	ONCTSH	67
21MD0085	SALTRU	0
21MD0086	ONCGOR	0
21MD0086	ONCKET	2
21MD0086	ONCKIS	0
21MD0086	ONCMYK	5
21MD0086	ONCNER	0
21MD0086	ONCTSH	0
21MD0086	SALTRU	0
21MD0087	ONCGOR	0
21MD0087	ONCKET	6
21MD0087	ONCKIS	0
21MD0087	ONCMYK	18
21MD0087	ONCNER	0
21MD0087	ONCTSH	0
21MD0087	SALTRU	0
21MD0088	ONCGOR	0
21MD0088	ONCKET	0
21MD0088	ONCKIS	10
21MD0088	ONCMYK	10
21MD0088	ONCNER	0
21MD0088	ONCTSH	35
21MD0088	SALTRU	0
21MD0089	ONCGOR	0
21MD0089	ONCKET	0
21MD0089	ONCKIS	20103
21MD0089	ONCMYK	119870
21MD0089	ONCNER	0
21MD0089	ONCTSH	20583
21MD0089	SALTRU	0
21MD0090	ONCGOR	0
21MD0090	ONCKET	3
21MD0090	ONCKIS	10
21MD0090	ONCMYK	0
21MD0090	ONCNER	0
21MD0090	ONCTSH	41
21MD0090	SALTRU	0
21MD0091	ONCGOR	0
21MD0091	ONCKET	0
21MD0091	ONCKIS	0
21MD0091	ONCMYK	0
21MD0091	ONCNER	0
21MD0091	ONCTSH	0
21MD0091	SALTRU	0
21MD0092	ONCGOR	0
21MD0092	ONCKET	3
21MD0092	ONCKIS	13
21MD0092	ONCMYK	0
21MD0092	ONCNER	0
21MD0092	ONCTSH	0
21MD0092	SALTRU	0
21MD0093	ONCGOR	0
21MD0093	ONCKET	0
21MD0093	ONCKIS	24
21MD0093	ONCMYK	64
21MD0093	ONCNER	0
21MD0093	ONCTSH	7671
21MD0093	SALTRU	0
21MD0094	ONCGOR	0
21MD0094	ONCKET	0
21MD0094	ONCKIS	0
21MD0094	ONCMYK	5
21MD0094	ONCNER	0
21MD0094	ONCTSH	26
21MD0094	SALTRU	0
21MD0095	ONCGOR	0
21MD0095	ONCKET	0
21MD0095	ONCKIS	0
21MD0095	ONCMYK	0
21MD0095	ONCNER	0
21MD0095	ONCTSH	8
21MD0095	SALTRU	0
21MD0096	ONCGOR	19
21MD0096	ONCKET	0
21MD0096	ONCKIS	119
21MD0096	ONCMYK	0
21MD0096	ONCNER	0
21MD0096	ONCTSH	14892
21MD0096	SALTRU	36
21MD0097	ONCGOR	42
21MD0097	ONCKET	0
21MD0097	ONCKIS	86
21MD0097	ONCMYK	0
21MD0097	ONCNER	0
21MD0097	ONCTSH	143
21MD0097	SALTRU	0
21MD0098	ONCGOR	701
21MD0098	ONCKET	0
21MD0098	ONCKIS	89
21MD0098	ONCMYK	0
21MD0098	ONCNER	0
21MD0098	ONCTSH	175
21MD0098	SALTRU	0
21MD0099	ONCGOR	9
21MD0099	ONCKET	0
21MD0099	ONCKIS	24
21MD0099	ONCMYK	0
21MD0099	ONCNER	0
